Project_ID,Service_Type,Client_Industry,Project_Manager,Start_Date,End_Date,Project_Duration,Estimated_Cost,Actual_Cost,Billing_Rate,Total_Revenue,Project_Complexity
IT20240001,Custom Software Development,Retail,Sarah Johnson,2024-07-28,2024-12-23,148,195254,188868,223,221872,Very High
IT20240002,Network Infrastructure,Finance,Emily Rodriguez,2024-01-27,2024-05-26,120,251277,246467,257,277307,High
IT20240003,Custom Software Development,Retail,Michael Chen,2024-12-11,2025-05-02,142,234511,216725,273,255491,High
IT20240004,Network Infrastructure,Retail,Emily Rodriguez,2024-10-07,2025-03-15,159,246072,227876,270,270806,Very High
IT20240005,Custom Software Development,Healthcare,David Kim,2024-08-01,2024-10-10,70,63887,57426,217,72616,High
IT20240006,Network Infrastructure,Technology,Emily Rodriguez,2024-03-24,2024-06-05,73,70466,55780,225,72205,Very High
IT20240007,Cloud Migration,Retail,Rachel Wong,2024-06-08,2024-07-18,40,62686,45976,219,54736,Low
IT20240008,Custom Software Development,Retail,Emily Rodriguez,2024-06-24,2024-11-07,136,116151,113127,217,142639,High
IT20240009,Cloud Migration,Finance,Rachel Wong,2024-08-18,2024-11-01,75,156844,138239,221,154814,Low
IT20240010,Cloud Migration,Healthcare,David Kim,2024-01-12,2024-03-13,61,155626,147311,228,161219,Very High
IT20240011,Cloud Migration,Manufacturing,Michael Chen,2024-06-17,2024-09-24,99,257728,252013,275,279238,Medium
IT20240012,Cloud Migration,Technology,Rachel Wong,2024-12-21,2025-01-20,30,100720,88489,288,97129,Very High
IT20240013,Data Analytics Consulting,Retail,David Kim,2024-09-26,2025-03-21,176,298389,286005,210,322965,Very High
IT20240014,Custom Software Development,Finance,Michael Chen,2024-04-10,2024-08-26,138,100706,90274,276,128362,Medium
IT20240015,Custom Software Development,Retail,Rachel Wong,2024-08-06,2024-12-29,145,266445,258428,288,300188,Very High
IT20240016,Custom Software Development,Technology,Rachel Wong,2024-02-15,2024-05-22,97,100222,90093,241,113470,Low
IT20240017,Cybersecurity Audit,Retail,Michael Chen,2024-12-04,2025-01-03,30,54519,36206,231,43136,Low
IT20240018,Cybersecurity Audit,Finance,Sarah Johnson,2024-06-05,2024-09-25,112,81290,68612,258,97508,Very High
IT20240019,Cybersecurity Audit,Finance,Emily Rodriguez,2024-11-25,2025-01-14,50,152300,142362,239,154312,Low
IT20240020,Data Analytics Consulting,Finance,Rachel Wong,2024-06-20,2024-10-24,126,297607,289586,212,316298,Medium
IT20240021,Cloud Migration,Finance,Michael Chen,2024-03-02,2024-06-24,114,197007,192263,242,219851,High
IT20240022,Custom Software Development,Healthcare,Sarah Johnson,2024-08-17,2024-11-15,90,60481,53085,293,79455,High
IT20240023,Cybersecurity Audit,Manufacturing,Rachel Wong,2024-10-27,2025-03-09,133,235214,221537,274,257979,High
IT20240024,Custom Software Development,Technology,David Kim,2024-03-21,2024-08-23,155,178559,164489,277,207424,Medium
IT20240025,Custom Software Development,Technology,Emily Rodriguez,2024-07-10,2024-12-22,165,50582,32466,257,74871,High
IT20240026,Network Infrastructure,Technology,Michael Chen,2024-07-07,2024-08-31,55,125764,111025,275,126150,Low
IT20240027,Network Infrastructure,Retail,Sarah Johnson,2024-04-06,2024-08-11,127,84940,83513,214,110691,High
IT20240028,Cybersecurity Audit,Healthcare,Emily Rodriguez,2024-05-08,2024-08-12,96,278249,268831,226,290527,Low
IT20240029,Network Infrastructure,Retail,Sarah Johnson,2024-02-16,2024-04-29,73,201877,199811,260,218791,Medium
IT20240030,Custom Software Development,Technology,Rachel Wong,2024-01-17,2024-06-13,148,285974,273660,204,303852,Low
IT20240031,Network Infrastructure,Manufacturing,Sarah Johnson,2024-11-09,2025-01-28,80,206829,190890,269,212410,Very High
IT20240032,Data Analytics Consulting,Manufacturing,David Kim,2024-02-06,2024-05-11,95,67012,66659,248,90219,Medium
IT20240033,Network Infrastructure,Retail,Emily Rodriguez,2024-05-07,2024-08-11,96,69596,54807,209,74871,High
IT20240034,Cybersecurity Audit,Technology,Sarah Johnson,2024-05-22,2024-11-11,173,106722,105075,239,146422,Low
IT20240035,Custom Software Development,Manufacturing,Rachel Wong,2024-06-01,2024-07-18,47,285485,272896,222,283330,Low
IT20240036,Custom Software Development,Technology,Rachel Wong,2024-06-02,2024-08-15,74,70148,55301,251,73875,Low
IT20240037,Custom Software Development,Retail,David Kim,2024-09-30,2025-01-03,95,229275,225212,255,249437,Low
IT20240038,Network Infrastructure,Finance,Rachel Wong,2024-09-10,2025-02-12,155,294338,287857,275,330482,Medium
IT20240039,Custom Software Development,Retail,Michael Chen,2024-09-02,2025-01-05,125,218318,208950,217,236075,Low
IT20240040,Cybersecurity Audit,Manufacturing,David Kim,2024-12-02,2025-01-04,33,130716,112137,221,119430,High
IT20240041,Data Analytics Consulting,Manufacturing,Michael Chen,2024-04-10,2024-07-11,92,184253,178123,208,197259,Very High
IT20240042,Custom Software Development,Retail,David Kim,2024-05-08,2024-06-30,53,75470,58911,201,69564,High
IT20240043,Cloud Migration,Finance,Sarah Johnson,2024-04-19,2024-06-05,47,174785,169747,223,180228,Medium
IT20240044,Cloud Migration,Retail,David Kim,2024-02-29,2024-07-26,148,175225,175008,232,209344,Very High
IT20240045,Custom Software Development,Technology,David Kim,2024-09-13,2025-03-07,175,132034,125763,221,164438,Very High
IT20240046,Network Infrastructure,Technology,Rachel Wong,2024-02-06,2024-05-15,99,136520,121591,284,149707,Medium
IT20240047,Data Analytics Consulting,Technology,David Kim,2024-06-23,2024-09-30,99,122028,109814,264,135950,High
IT20240048,Network Infrastructure,Finance,David Kim,2024-10-25,2025-02-25,123,106608,95177,296,131585,Low
IT20240049,Network Infrastructure,Technology,Emily Rodriguez,2024-07-12,2024-11-13,124,170130,163128,223,190780,Low
IT20240050,Data Analytics Consulting,Technology,David Kim,2024-02-06,2024-06-20,135,179684,179504,218,208934,Low
IT20240051,Custom Software Development,Retail,Emily Rodriguez,2024-09-24,2025-01-24,122,252359,234178,291,269680,Low
IT20240052,Network Infrastructure,Finance,Rachel Wong,2024-10-23,2025-03-04,132,87980,81333,234,112221,High
IT20240053,Network Infrastructure,Manufacturing,David Kim,2024-06-26,2024-12-02,159,198767,184027,234,221233,Medium
IT20240054,Cybersecurity Audit,Manufacturing,Michael Chen,2024-07-23,2024-10-23,92,286982,268166,228,289142,High
IT20240055,Cloud Migration,Finance,Rachel Wong,2024-08-12,2024-12-31,141,225695,222881,271,261092,Low
IT20240056,Network Infrastructure,Technology,Michael Chen,2024-11-19,2025-01-13,55,58256,39120,297,55455,Very High
IT20240057,Cloud Migration,Technology,David Kim,2024-05-14,2024-06-16,33,215825,208437,247,216588,Low
IT20240058,Cybersecurity Audit,Manufacturing,Sarah Johnson,2024-09-25,2024-12-16,82,202512,189216,253,209962,Very High
IT20240059,Cybersecurity Audit,Technology,Rachel Wong,2024-11-06,2025-04-11,156,85483,83675,295,129695,Medium
IT20240060,Data Analytics Consulting,Technology,Sarah Johnson,2024-09-16,2024-11-09,54,125228,108402,283,123684,High
IT20240061,Cybersecurity Audit,Finance,Michael Chen,2024-03-04,2024-08-02,151,58000,48853,281,91284,High
IT20240062,Data Analytics Consulting,Technology,Michael Chen,2024-05-05,2024-06-09,35,146513,141977,207,149222,Low
IT20240063,Custom Software Development,Technology,Emily Rodriguez,2024-11-19,2025-03-23,124,297343,293556,279,328152,High
IT20240064,Custom Software Development,Finance,Emily Rodriguez,2024-05-12,2024-07-14,63,233636,229251,246,244749,Low
IT20240065,Custom Software Development,Retail,Michael Chen,2024-03-27,2024-08-11,137,73292,65032,263,101063,Very High
IT20240066,Data Analytics Consulting,Manufacturing,Rachel Wong,2024-02-10,2024-07-11,152,111052,96885,295,141725,Low
IT20240067,Data Analytics Consulting,Healthcare,David Kim,2024-08-09,2025-01-16,160,212074,194792,255,235592,Medium
IT20240068,Cybersecurity Audit,Finance,Emily Rodriguez,2024-07-22,2024-11-01,102,117054,111487,281,140149,Very High
IT20240069,Custom Software Development,Retail,Rachel Wong,2024-02-12,2024-03-23,40,284166,276645,206,284885,Low
IT20240070,Data Analytics Consulting,Healthcare,Emily Rodriguez,2024-12-03,2025-01-03,31,263760,263518,213,270121,Medium
IT20240071,Data Analytics Consulting,Retail,Sarah Johnson,2024-05-14,2024-06-25,42,137451,118646,227,128180,Low
IT20240072,Cloud Migration,Manufacturing,David Kim,2024-11-24,2025-04-19,146,270551,255106,216,286642,Low
IT20240073,Network Infrastructure,Technology,Michael Chen,2024-06-27,2024-09-07,72,293074,281732,205,296492,Medium
IT20240074,Data Analytics Consulting,Manufacturing,David Kim,2024-09-09,2024-11-18,70,158041,140696,200,154696,High
IT20240075,Custom Software Development,Finance,Michael Chen,2024-07-05,2024-10-11,98,219450,213513,253,238307,High
IT20240076,Data Analytics Consulting,Manufacturing,Sarah Johnson,2024-01-10,2024-06-15,157,72113,67804,272,110508,Low
IT20240077,Network Infrastructure,Finance,Rachel Wong,2024-10-30,2025-03-02,123,54396,50183,238,79457,High
IT20240078,Cybersecurity Audit,Manufacturing,David Kim,2024-10-04,2025-02-08,127,65694,49862,288,86438,High
IT20240079,Cloud Migration,Healthcare,David Kim,2024-01-08,2024-04-07,90,268336,253875,217,273405,Very High
IT20240080,Cloud Migration,Manufacturing,Emily Rodriguez,2024-02-27,2024-08-02,157,198323,183191,275,226366,Very High
IT20240081,Cybersecurity Audit,Retail,Sarah Johnson,2024-05-01,2024-09-23,145,286003,278949,270,318099,High
IT20240082,Custom Software Development,Retail,David Kim,2024-11-21,2025-02-04,75,117627,98931,291,120756,High
IT20240083,Data Analytics Consulting,Manufacturing,Rachel Wong,2024-07-02,2024-10-26,116,270649,263193,209,287437,Very High
IT20240084,Data Analytics Consulting,Manufacturing,Rachel Wong,2024-06-12,2024-09-26,106,272973,268040,247,294222,Low
IT20240085,Cybersecurity Audit,Retail,Rachel Wong,2024-10-31,2025-03-11,131,291897,280531,283,317604,Low
IT20240086,Custom Software Development,Manufacturing,David Kim,2024-11-28,2025-01-09,42,72145,64794,234,74622,High
IT20240087,Data Analytics Consulting,Manufacturing,Sarah Johnson,2024-12-13,2025-01-21,39,118310,101261,294,112727,High
IT20240088,Network Infrastructure,Healthcare,Michael Chen,2024-12-29,2025-02-11,44,271082,262059,225,271959,Low
IT20240089,Custom Software Development,Retail,Rachel Wong,2024-06-23,2024-12-11,171,117827,108692,256,152468,Medium
IT20240090,Custom Software Development,Technology,David Kim,2024-12-24,2025-02-16,54,231021,227214,245,240444,Low
IT20240091,Custom Software Development,Retail,Emily Rodriguez,2024-05-20,2024-08-09,81,184934,184795,267,206422,Low
IT20240092,Network Infrastructure,Technology,Rachel Wong,2024-11-06,2025-03-23,137,98881,87979,233,119900,Medium
IT20240093,Data Analytics Consulting,Finance,Rachel Wong,2024-05-20,2024-06-24,35,214853,209811,247,218456,Low
IT20240094,Cloud Migration,Retail,Michael Chen,2024-06-14,2024-10-04,112,176104,175184,282,206768,Medium
IT20240095,Network Infrastructure,Retail,Michael Chen,2024-10-11,2024-12-17,67,209733,191316,253,208267,Low
IT20240096,Data Analytics Consulting,Manufacturing,David Kim,2024-01-06,2024-03-12,66,119920,105116,269,122870,High
IT20240097,Custom Software Development,Retail,Rachel Wong,2024-05-03,2024-06-17,45,298376,291532,209,300937,Medium
IT20240098,Custom Software Development,Technology,Michael Chen,2024-04-07,2024-07-13,97,139236,134209,279,161272,Low
IT20240099,Data Analytics Consulting,Manufacturing,Sarah Johnson,2024-01-27,2024-04-12,76,192926,179029,274,199853,Low
IT20240100,Custom Software Development,Finance,Rachel Wong,2024-08-11,2025-01-11,153,78448,66910,260,106690,Medium
