Crop_ID,Crop_Type,Variety,Region,Planting_Season,Harvest_Date,Acres_Cultivated,Yield_Per_Acre,Total_Production,Market_Price,Total_Revenue,Climate_Zone
AG20240001,Soybeans,Sweet Corn,Plains,Monsoon,2024-09-17,215,4.3,924.5,58.4,53990.799999999996,Semi-Arid
AG20240002,Soybeans,Sweet Corn,Plains,Monsoon,2024-02-23,386,2.4,926.4,19.8,18342.72,Arid
AG20240003,Soybeans,Winter Wheat,Southern,Monsoon,2024-01-31,318,4.9,1558.2,62.3,97075.86,Subtropical
AG20240004,Soybeans,Long Staple,Southwest,Winter,2024-06-05,104,5.0,520.0,54.0,28080.0,Tropical
AG20240005,Corn,Sweet Corn,Delta,Summer,2024-04-18,937,2.8,2623.6,69.1,181290.75999999998,Arid
AG20240006,Soybeans,Long Staple,Delta,Winter,2024-04-03,342,5.0,1710.0,19.2,32832.0,Temperate
AG20240007,Corn,Long Staple,Plains,Summer,2024-04-14,878,4.9,4302.200000000001,67.7,291258.94000000006,Tropical
AG20240008,Rice,Long Staple,Southern,Monsoon,2024-03-14,147,4.4,646.8000000000001,18.5,11965.800000000001,Arid
AG20240009,Corn,Winter Wheat,Southern,Monsoon,2024-08-27,606,2.3,1393.8,61.7,85997.46,Subtropical
AG20240010,Wheat,Sweet Corn,Plains,Summer,2024-09-17,726,2.3,1669.8,72.4,120893.52,Temperate
AG20240011,Rice,Winter Wheat,Delta,Summer,2024-09-23,423,4.4,1861.2,19.7,36665.64,Arid
AG20240012,Corn,Basmati,Delta,Monsoon,2024-09-14,614,4.9,3008.6000000000004,52.4,157650.64,Semi-Arid
AG20240013,Cotton,Winter Wheat,Plains,Winter,2024-03-14,850,3.3,2805.0,66.4,186252.00000000003,Tropical
AG20240014,Wheat,Long Staple,Plains,Monsoon,2024-04-23,942,2.1,1978.2,23.5,46487.700000000004,Tropical
AG20240015,Corn,Basmati,Southwest,Monsoon,2024-07-09,324,3.0,972.0,72.8,70761.59999999999,Tropical
AG20240016,Soybeans,Sweet Corn,Southwest,Summer,2024-04-30,702,2.3,1614.6,6.2,10010.52,Semi-Arid
AG20240017,Soybeans,Organic Soybeans,Midwest,Summer,2024-06-26,804,4.8,3859.2,33.4,128897.27999999998,Semi-Arid
AG20240018,Cotton,Organic Soybeans,Delta,Spring,2024-10-07,818,4.6,3762.7999999999997,71.2,267911.36,Semi-Arid
AG20240019,Rice,Sweet Corn,Southwest,Spring,2024-08-24,608,4.7,2857.6,58.3,166598.08,Tropical
